"시도별","시점",과채류:면적 (ha),과채류:생산량 (톤),수박:면적 (ha),수박:생산량 (톤),노지수박:면적 (ha),노지수박:10a당 생산량 (kg),노지수박:생산량 (톤),시설수박:면적 (ha),시설수박:10a당 생산량 (kg),시설수박:생산량 (톤),참외:면적 (ha),참외:생산량 (톤),노지참외:면적 (ha),노지참외:10a당 생산량 (kg),노지참외:생산량 (톤),시설참외:면적 (ha),시설참외:10a당 생산량 (kg),시설참외:생산량 (톤),딸기:면적 (ha),딸기:생산량 (톤),노지딸기:면적 (ha),노지딸기:10a당 생산량 (kg),노지딸기:생산량 (톤),시설딸기:면적 (ha),시설딸기:10a당 생산량 (kg),시설딸기:생산량 (톤),오이:면적 (ha),오이:생산량 (톤),노지오이:면적 (ha),노지오이:10a당 생산량 (kg),노지오이:생산량 (톤),시설오이:면적 (ha),시설오이:10a당 생산량 (kg),시설오이:생산량 (톤),호박:면적 (ha),호박:생산량 (톤),노지호박:면적 (ha),노지호박:10a당 생산량 (kg),노지호박:생산량 (톤),시설호박:면적 (ha),시설호박:10a당 생산량 (kg),시설호박:생산량 (톤),토마토:면적 (ha),토마토:생산량 (톤),노지토마토:면적 (ha),노지토마토:10a당 생산량 (kg),노지토마토:생산량 (톤),시설토마토:면적 (ha),시설토마토:10a당 생산량 (kg),시설토마토:생산량 (톤)
"계","1991",61915,1496121,30233,723997,22807,2259,515242,7426,2811,208755,8938,203480,3924,1711,67139,5014,2719,136341,6053,100518,2050,1206,24718,4003,1894,75800,8416,267146,3752,2417,90678,4664,3784,176468,5774,110606,4085,1760,71913,1689,2291,38693,2501,90374,569,2795,15902,1932,3855,74472
"계","1992",67014,1685673,35082,841630,25520,2223,567210,9562,2870,274420,8418,209834,3011,1732,52137,5407,2917,157697,6054,107990,1823,1396,25441,4231,1951,82549,7949,273041,2973,2537,75429,4976,3971,197612,6410,135740,4037,1968,79464,2373,2372,56276,3101,117438,678,3162,21440,2423,3962,95998
"계","1993",73091,1888927,36572,865127,24785,2137,529779,11787,2845,335348,9238,231521,2762,1745,48206,6476,2831,183315,7296,137351,2048,1245,25494,5248,2131,111857,8744,348547,3117,2535,79015,5627,4790,269532,7779,163099,4843,1801,87233,2936,2584,75866,3462,143282,516,3076,15873,2946,4325,127409
"계","1994",72052,1871886,34535,858025,19540,2218,433357,14995,2832,424668,10251,258067,2337,1648,38504,7914,2774,219563,7425,151263,1698,1322,22449,5727,2249,128814,8710,303436,2948,2453,72301,5762,4011,231135,7512,152392,5178,1825,94522,2334,2479,57870,3619,148703,598,3218,19245,3021,4285,129458
"계","1995",84846,2293724,45207,1120124,26230,2242,588022,18977,2804,532102,11999,331126,2254,1699,38288,9745,3005,292838,7394,168528,1193,1354,16151,6201,2457,152377,8548,337348,2600,2969,77206,5948,4374,260142,7080,159185,4124,1939,79962,2956,2680,79223,3927,177413,593,3218,19080,3334,4749,158333
"계","1996",75586,2083281,39270,866499,20518,1864,382387,18752,2582,484112,10679,291710,1481,1682,24911,9198,2901,266799,7143,170089,907,1437,13036,6236,2518,157053,7191,359708,2195,2747,60307,4996,5993,299401,7259,172332,4454,2050,91311,2805,2888,81021,4044,222943,216,3327,7187,3828,5636,215756
"계","1997",75636,2209373,40204,1005553,19576,1981,387865,20628,2994,617688,10395,294081,1196,1777,21258,9199,2966,272823,6303,151199,731,1439,10521,5572,2525,140678,6624,332877,1853,3057,56652,4771,5790,276225,7447,180779,4742,2121,100560,2705,2966,80219,4663,244884,323,3663,11830,4340,5370,233054
"계","1998",70199,2158934,33533,870282,14344,2203,315978,19189,2889,554304,10412,298664,1047,1805,18898,9365,2987,279766,6553,155521,600,1366,8197,5953,2475,147324,7894,408317,2172,3000,65151,5722,5997,343166,7701,194598,4430,1840,81529,3271,3457,113069,4106,231552,273,4044,11040,3833,5753,220512
"계","1999",72532,2335005,34499,936658,13200,1929,254628,21299,3202,682030,10859,319374,814,1914,15582,10045,3024,303792,6327,152481,579,1511,8749,5748,2501,143732,7692,418796,1728,3404,58815,5964,6036,359981,8145,216958,4286,2130,91289,3859,3257,125669,5010,290738,258,4166,10747,4752,5892,279991
"계","2000",68363,2406699,30451,922746,9499,2365,224695,20952,3332,698051,10203,332780,754,1778,13405,9449,3380,319375,7090,180501,535,1473,7878,6555,2633,172623,7269,453525,1426,3837,54717,5843,6825,398808,8434,240484,4516,2362,106660,3918,3416,133824,4916,276663,170,4256,7236,4746,5677,269427
"계","2001",63782,2375117,28451,948953,7951,2371,188548,20500,3709,760405,8655,270325,600,1929,11573,8055,3212,258752,7567,202966,348,1418,4935,7219,2743,198031,6969,451518,1557,4030,62744,5412,7184,388774,8792,295592,4694,2515,118070,4098,4332,177522,3348,205763,130,4255,5532,3218,6222,200231
"계","2002",61109,2263596,25873,839644,6133,2406,147545,19740,3506,692099,7968,247187,478,2053,9814,7490,3169,237373,7816,209938,365,1399,5108,7451,2749,204830,6886,463707,1392,4085,56858,5494,7405,406849,9035,276521,4921,2427,119411,4114,3819,157110,3531,226599,178,4558,8114,3353,6516,218485
"서울특별시","1991",136,4282,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,1560,5,2500,125,47,3053,1435,80,2600,21,1773,372,59,3777,2228,4,122,1,3400,34,3,2927,88
"서울특별시","1992",126,3417,3,71,3,2380,71,0,0,0,2,37,2,1828,37,0,0,0,0,0,0,0,0,0,0,0,26,458,1,2484,25,25,1730,433,81,2349,23,2158,496,58,3195,1853,14,502,3,3000,90,11,3742,412
"서울특별시","1993",182,4409,1,20,1,1960,20,0,0,0,3,47,3,1570,47,0,0,0,0,0,0,0,0,0,0,0,46,686,5,2481,124,41,1370,562,94,2574,19,1916,364,75,2946,2210,38,1082,1,2600,26,37,2855,1056
"서울특별시","1994",148,3384,2,38,2,1889,38,0,0,0,3,42,3,1416,42,0,0,0,0,0,0,0,0,0,0,0,37,617,2,2188,44,35,1636,573,89,2084,18,1815,327,71,2475,1757,17,603,3,2000,60,14,3875,543
"서울특별시","1995",158,4965,5,105,5,2094,105,0,0,0,24,362,24,1510,362,0,0,0,0,0,0,0,0,0,0,0,23,434,6,2200,132,17,1778,302,93,3769,11,2143,236,82,4309,3533,13,295,2,3000,60,11,2139,235
"서울특별시","1996",129,3490,0,0,0,0,0,0,0,0,3,100,3,3333,100,0,0,0,0,0,0,0,0,0,0,0,11,234,0,0,0,11,2130,234,109,2988,30,2487,746,79,2838,2242,6,168,0,0,0,6,2800,168
"서울특별시","1997",66,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,483,0,0,0,14,3452,483,48,1338,27,2141,578,21,3620,760,4,149,1,3164,32,3,3892,117
"서울특별시","1998",80,2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,1,940,9,1,1664,17,25,571,1,2746,27,24,2268,544,52,1993,14,1955,274,38,4524,1719,1,19,1,1944,19,0,0,0
"서울특별시","1999",114,1923,0,0,0,0,0,0,0,0,1,19,1,1893,19,0,0,0,0,0,0,0,0,0,0,0,29,724,28,2442,684,1,4030,40,81,1090,24,1987,477,57,1075,613,3,90,3,3000,90,0,0,0
