,1,2,3,4,5,6,7,8,9,10,11,12
A,71998,72002,71999,71998,72001,72000,71998,71994,72002,72001,72001,72000
B,95999,96000,96000,95999,96003,96001,96002,96005,95999,96001,96000,96002
C,576007,575999,575991,575986,576012,575982,575992,575994,576000,575977,575984,575997
D,23999,24003,24000,24000,23999,24000,24001,23999,23998,24000,24000,24000
E,95998,95996,96001,95998,96003,96004,95998,96003,95999,96006,95999,96004
F,47997,47998,47999,47998,48004,48000,48000,47998,47999,48003,48001,47998
G,71999,72004,71996,71997,72000,71999,71996,71998,71999,72002,72001,72004
H,96004,95999,95998,95997,96003,95996,95998,96002,95998,95997,96004,96001
I,48000,48001,47997,48000,48000,47998,48002,48000,48002,48002,48005,48002
J,143998,144000,144004,144001,144003,144000,143999,143999,143997,144003,144003,143996
K,72003,72005,72001,71997,71999,72001,71997,72005,72002,71997,72002,72001
L,23997,23999,24000,24000,24000,24000,23999,24001,23997,23999,24001,24001
N,24001,24002,24002,24000,23998,23999,23999,24004,24000,24000,24000,24000
