○ 산업별(표준산업코드 중분류) 월별 1~24시 전력소비계수 [2017년],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
월별,시간별,시점,농업,임업,어업,석탄/ 원유 및 천연가스 광업,금속 광업,비금속광물 광업;연료용 제외,광업 지원 서비스업,식료품 제조업,음료 제조업,담배 제조업,섬유제품 제조업; 의복제외,의복/ 의복액세서리 및 모피제품 제조업,가죽/ 가방 및 신발 제조업,목재 및 나무제품 제조업;가구제외,펄프/ 종이 및 종이제품 제조업,인쇄 및 기록매체 복제업,코크스/ 연탄 및 석유정제품 제조업,화학물질 및 화학제품 제조업;의약품 제외,의료용 물질 및 의약품 제조업,고무제품 및 플라스틱제품 제조업,비금속 광물제품 제조업,1차 금속 제조업,금속가공제품 제조업;기계 및 가구 제외,전자부품/ 컴퓨터/ 영상/ 음향 및 통신장비 제조업,의료/ 정밀/ 광학기기 및 시계 제조업,전기장비 제조업,기타 기계 및 장비 제조업,자동차 및 트레일러 제조업,기타 운송장비 제조업,가구 제조업,기타 제품 제조업,전기/ 가스/ 증기 및 공기조절 공급업,수도사업,하수/ 폐수 및 분뇨 처리업,폐기물 수집운반/ 처리 및 원료재생업,환경 정화 및 복원업,종합 건설업,전문직별 공사업,자동차 및 부품 판매업,도매 및 상품중개업,소매업; 자동차 제외,육상운송 및 파이프라인 운송업,수상 운송업,항공 운송업,창고 및 운송관련 서비스업,숙박업,음식점 및 주점업,출판업,영상/ 오디오 기록물 제작 및 배급업,방송업,통신업,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,정보서비스업,금융업,보험 및 연금업,금융 및 보험 관련 서비스업,부동산업,임대업;부동산 제외,연구개발업,전문서비스업,건축기술/ 엔지니어링 및 기타 과학기술 서비스업,기타 전문/ 과학 및 기술 서비스업,사업시설 관리 및 조경 서비스업,사업지원 서비스업,공공행정/ 국방 및 사회보장 행정,교육 서비스업,보건업,사회복지 서비스업,창작/ 예술 및 여가관련 서비스업,스포츠 및 오락관련 서비스업,협회 및 단체,수리업,기타 개인 서비스업,가구내 고용활동,국제 및 외국기관,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1월,1시,,"1,120","1,069","1,004",616,710,469,688,812,819,744,902,595,633,774,958,611,997,953,818,814,938,"1,140",717,961,962,862,679,788,711,730,650,"1,007",991,984,751,"1,021",771,865,458,627,539,618,689,603,753,"1,020",710,917,777,844,916,892,908,610,614,624,633,578,782,670,798,768,758,667,736,799,796,"1,199",578,737,854,388,662,427,879,
1월,2시,,"1,128","1,051","1,000",616,702,505,699,803,844,742,901,597,635,774,963,617,998,953,812,819,942,"1,146",726,963,958,865,676,771,732,734,652,994,973,970,765,"1,167",731,878,425,614,499,391,712,578,738,961,654,876,682,840,913,885,897,597,605,610,590,569,771,637,778,751,740,650,725,789,785,"1,160",565,714,827,380,636,422,870,
1월,3시,,"1,135","1,039",998,615,696,514,686,795,843,741,899,605,628,776,966,626,998,953,810,824,947,"1,144",721,964,958,867,676,769,726,737,651,994,958,956,768,"1,159",715,895,420,610,479,371,702,573,720,908,608,855,597,819,912,880,886,592,600,607,562,549,764,616,772,740,726,641,720,779,777,"1,125",558,698,805,373,624,408,863,
1월,4시,,"1,146","1,021",996,612,702,511,685,785,840,737,896,609,623,773,964,626,997,952,810,831,946,"1,142",714,963,940,857,678,758,713,731,651,"1,009",949,946,768,"1,053",708,934,418,609,466,378,702,574,712,873,573,847,505,799,911,877,883,591,601,607,545,553,760,615,773,741,719,639,717,767,775,"1,094",555,691,813,371,643,410,866,
1월,5시,,"1,161","1,009",995,740,693,515,693,783,843,737,895,625,626,777,964,624,998,952,808,829,945,"1,140",707,962,939,838,678,757,722,729,653,"1,021",945,935,775,"1,025",724,996,427,624,468,454,721,572,722,867,551,855,460,793,911,875,878,600,605,618,546,564,762,644,772,747,717,639,728,768,790,"1,078",560,717,960,378,747,609,875,
1월,6시,,"1,184","1,017","1,001",710,698,525,720,788,859,760,895,648,649,783,968,627,998,953,821,825,947,"1,130",712,961,961,818,677,757,725,731,663,"1,003",950,936,785,917,776,"1,068",470,661,488,742,794,589,768,895,558,869,460,832,918,883,891,642,665,686,581,594,778,730,795,782,721,674,771,789,854,"1,112",584,780,"1,077",416,880,857,916,
1월,7시,,"1,214","1,030","1,007",678,739,621,765,828,907,820,908,718,729,809,972,663,998,961,853,862,965,"1,118",753,966,978,850,729,851,765,758,721,986,976,948,833,847,906,"1,237",576,727,544,"1,057",894,673,840,955,596,923,521,912,945,909,942,735,832,848,663,699,832,839,864,852,756,777,887,840,960,"1,177",664,880,"1,004",528,969,"1,069",992,
1월,8시,,"1,249","1,097","1,013",689,917,"1,164","1,081",942,"1,001","1,070",958,963,990,927,990,801,998,984,950,956,"1,042","1,124",896,985,"1,029",939,890,"1,005",931,873,894,984,"1,020",971,"1,056",949,"1,080","1,448",872,865,651,"1,245","1,005",906,937,991,673,979,682,992,"1,005",954,994,992,"1,092","1,081",796,809,931,"1,024",998,963,859,936,"1,068",923,"1,077","1,155",819,954,965,827,"1,057","1,235","1,077",
1월,9시,,"1,224","1,207","1,018",722,"1,306","1,545","1,323","1,146","1,142","1,268","1,069","1,373","1,385","1,247","1,050","1,206","1,000","1,037","1,147","1,154","1,140","1,098","1,271","1,033","1,136","1,138","1,280","1,213","1,338","1,208","1,279","1,004","1,060","1,000","1,328","1,053","1,209","1,569","1,359","1,109",861,"1,321","1,225","1,148","1,091","1,006",817,"1,046","1,034","1,091","1,084","1,060","1,067","1,351","1,363","1,336","1,024","1,074","1,107","1,248","1,144","1,138","1,106","1,157","1,279","1,153","1,262","1,159","1,149","1,068","1,069","1,507","1,170","1,565","1,117",
