,서울,서울,서울,서울,부산,부산,부산,부산,인천,인천,인천,인천,대구,대구,대구,대구,대전,대전,대전,대전,광주,광주,광주,광주,울산,울산,울산,울산
,평균기온(℃),평균최저기온(℃),평균최고기온(℃),강수량(mm),평균기온(℃),평균최저기온(℃),평균최고기온(℃),강수량(mm),평균기온(℃),평균최저기온(℃),평균최고기온(℃),강수량(mm),평균기온(℃),평균최저기온(℃),평균최고기온(℃),강수량(mm),평균기온(℃),평균최저기온(℃),평균최고기온(℃),강수량(mm),평균기온(℃),평균최저기온(℃),평균최고기온(℃),강수량(mm),평균기온(℃),평균최저기온(℃),평균최고기온(℃),강수량(mm)
1992,12.5,8.5,16.9,1454.9,14.8,11.5,18.8,1308.9,11.9,8.4,16.2,1060.0,14.1,9.4,19.7,811.7,12.8,7.9,18.5,1036.9,13.7,9.1,19.1,1098.1,14.2,10.0,19.2,1155.4
1993,12.0,8.1,16.7,1292.7,14.0,10.7,18.2,1615.3,11.5,8.1,15.6,1170.4,13.4,8.8,18.9,1181.7,12.3,7.6,17.8,1533.1,13.1,8.8,18.4,1372.1,13.1,8.9,18.1,1649.4
1994,13.5,9.5,18.3,1055.8,15.6,12.2,20.0,959.9,12.9,9.3,17.3,1052.5,15.2,10.1,21.2,567.5,13.8,8.7,19.7,857.9,14.6,9.9,20.3,776.4,14.8,10.2,20.3,921.4
1995,12.2,8.2,16.7,1598.6,14.5,11.0,19.1,1005.7,11.7,8.3,16.0,1326.2,13.9,8.9,20.0,728.8,12.3,7.0,18.4,1136.2,13.4,8.9,18.7,764.4,13.7,9.2,19.2,693.0
1996,12.2,8.3,16.8,1256.6,14.5,10.9,19.1,1289.6,11.6,8.0,16.2,928.6,13.7,8.9,19.4,888.5,12.1,7.2,18.0,1279.2,13.2,8.9,18.6,1268.8,13.7,9.3,19.0,1015.0
1997,12.9,8.7,17.7,1210.2,15.2,11.7,19.8,1598.1,12.1,8.3,17.0,1257.9,14.5,9.6,20.3,1122.2,12.8,7.6,18.7,1765.9,14.1,9.5,19.6,1479.2,14.5,9.9,19.8,1198.6
1998,13.8,9.8,18.4,2349.1,15.8,12.8,19.7,2028.8,13.1,9.5,18.0,1638.1,14.9,10.7,19.9,1381.8,13.6,8.9,19.2,2070.0,15.0,10.7,20.1,1943.0,15.1,11.2,19.5,1796.0
1999,13.2,9.0,17.8,1733.1,15.0,11.8,19.2,2396.7,12.6,8.9,17.3,1472.5,14.3,9.9,19.2,1377.4,13.0,8.1,18.5,1455.2,14.3,9.9,19.4,1429.7,14.4,10.3,19.0,1864.9
2000,12.7,8.6,17.1,1186.8,14.9,11.6,19.2,1248.5,12.7,9.2,17.1,1159.4,14.2,10.0,19.0,1087.3,12.4,7.7,18.1,1707.5,13.5,9.0,19.0,1511.0,14.3,10.1,19.2,1027.1
2001,12.8,8.9,17.3,1386.0,15.3,12.0,20.0,1171.3,12.8,9.3,17.5,1144.5,14.8,10.5,19.8,878.3,13.1,8.2,18.8,828.7,13.8,9.4,19.4,1129.9,14.6,10.5,19.4,869.1
2002,12.9,9.1,17.2,1388.0,14.7,11.4,18.9,2085.2,13.1,9.4,17.8,1033.7,14.1,9.6,19.3,1291.3,13.3,8.8,18.4,1378.7,13.9,9.4,19.3,1458.7,14.4,10.2,19.3,1559.8
2003,12.8,9.2,17.0,2012.0,14.3,11.2,18.5,2328.3,12.5,9.1,17.0,1702.2,13.8,9.6,18.5,1749.9,13.2,8.9,18.0,1748.9,13.6,9.5,18.4,1994.1,14.3,10.3,19.1,1864.2
2004,13.3,9.5,17.7,1499.1,14.9,11.5,19.3,1386.5,12.9,9.2,17.8,1307.5,14.8,10.2,20.3,1222.4,13.9,9.1,19.3,1496.5,14.3,9.8,19.8,1742.3,15.2,10.7,20.5,1250.1
2005,12.1,8.4,16.4,1358.4,13.8,10.5,18.1,1383.9,12.0,8.3,17.1,1155.8,14.2,9.8,19.5,834.3,12.4,7.8,17.5,1656.1,13.6,9.4,18.7,1289.6,14.3,10.0,19.4,1135.7
2006,13.0,9.3,17.2,1681.9,14.7,11.4,18.9,1528.3,12.7,9.4,16.6,1300.1,14.6,10.3,19.7,1131.5,13.1,8.5,18.3,1195.2,14.2,10.0,19.2,1520.2,14.6,10.4,19.6,1393.9
2007,13.3,9.7,17.5,1212.3,15.3,12.4,19.1,1276.5,12.9,9.9,16.5,1120.0,15.0,10.7,20.0,973.9,13.3,8.9,18.4,1750.9,14.6,10.6,19.6,1620.6,15.0,10.8,19.9,1135.8
2008,12.9,9.1,17.3,1356.3,15.0,12.0,18.8,1168.3,12.8,9.5,16.6,1137.4,14.6,10.1,19.9,761.4,13.0,8.3,18.3,1037.6,14.6,10.4,19.8,1007.2,14.2,10.0,19.3,1112.3
2009,12.9,9.1,17.2,1564.0,15.2,12.1,19.2,1772.9,12.6,9.4,16.3,1382.1,14.8,10.2,20.2,832.5,12.8,8.0,18.2,1090.4,14.6,10.2,20.1,1488.2,14.3,10.0,19.5,1133.2
2010,12.1,8.5,16.3,2043.5,14.9,11.7,19.0,1441.9,12.3,9.1,15.9,1777.7,14.4,9.9,19.6,1204.5,12.7,8.2,17.7,1419.7,14.2,10.1,19.2,1573.1,14.0,9.7,19.2,1161.6
2011,12.0,8.4,16.4,2039.3,14.6,11.3,18.8,1478.6,12.0,9.0,15.6,1725.5,14.3,9.9,19.3,1430.4,12.6,8.2,17.6,1943.4,13.7,9.5,19.0,1300.3,13.7,9.4,18.8,1233.2
2012,12.2,8.5,16.7,1646.3,14.5,11.3,18.6,1983.3,12.1,8.8,16.0,1415.1,14.1,9.8,19.2,1189.9,12.6,8.1,17.6,1409.5,13.7,9.5,18.9,1626.8,13.7,9.6,18.7,1458.1
2013,12.5,8.7,16.9,1403.8,15.3,11.8,19.5,1130.1,11.9,8.7,15.5,1186.6,15.0,10.4,20.4,996.4,13.1,8.4,18.3,1120.2,14.2,9.8,19.6,1245.4,14.8,10.3,20.2,858.3
2014,13.4,9.3,18.3,808.9,15.1,12.0,19.2,1693.1,12.8,9.6,16.5,788.1,14.9,10.5,20.2,1072.1,13.4,8.8,18.9,1117.7,14.3,10.0,19.7,1290.3,14.7,10.6,19.7,1398.7
2015,13.6,9.3,18.7,792.1,15.4,12.2,19.5,1396.7,13.1,9.9,17.0,652.0,14.8,10.2,20.1,908.5,14.0,9.2,19.4,822.7,14.6,10.4,19.8,1049.6,15.0,10.8,19.8,1044.6
2016,13.6,9.4,18.5,991.7,15.7,12.5,19.8,1760.2,13.3,10.0,17.1,864.3,14.6,10.1,19.8,1227.3,14.0,9.4,19.4,1228.4,15.0,10.9,20.1,1482.3,14.8,10.8,19.4,1693.9
2017,13.0,8.8,18.1,1233.2,15.2,11.7,19.6,1014.4,12.5,9.3,16.3,1028.9,14.4,9.3,20.1,663.7,13.4,8.5,18.9,1127.5,14.6,10.2,20.1,936.6,14.5,10.1,19.4,671.4
2018,12.9,8.8,17.9,1284.1,15.1,11.8,19.2,1778.6,12.5,9.2,16.3,1134.4,14.1,9.2,19.6,1297.6,13.5,8.8,19.0,1542.1,14.6,10.3,20.1,1427.9,14.3,10.2,19.0,1416.1
2019,13.5,9.3,18.5,891.3,15.7,12.5,19.8,1623.2,13.2,9.9,17.1,919.5,14.8,9.9,20.3,995.7,14.0,9.2,19.5,984.2,14.7,10.5,20.0,1085.9,14.9,10.7,19.7,1450.1
2020,13.2,9.4,17.9,1651.1,15.2,11.9,19.4,2281.6,12.8,9.8,16.3,1311.9,14.5,9.8,20.0,1244.9,13.7,9.2,19.2,1614.0,14.5,10.5,19.6,2027.0,14.6,10.6,19.3,1557.9
2021,13.7,9.6,18.5,1186.5,15.7,12.4,19.9,1807.8,13.4,10.0,17.1,1071.8,14.6,9.8,20.2,910.0,14.3,9.5,19.7,1109.5,15.1,10.8,20.3,1303.8,14.9,10.8,19.6,1337.0
2022,13.2,9.2,18.0,1775.3,15.4,12.0,19.8,991.9,12.5,9.3,16.3,1620.5,14.7,9.6,20.4,581.0,13.5,8.5,19.4,1203.1,14.8,10.5,20.2,769.9,14.7,10.5,19.5,926.1
